"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.887817917E0,1.432962060E0,3.600075841E-2,-1.163194418E0,1.845995009E0
1.897759917E0,1.392016530E0,4.789656401E-2,-1.082003355E0,1.763727689E0
1.907702917E0,1.339489818E0,9.814093262E-2,-9.841666818E-1,1.665067167E0
1.917644917E0,1.285412788E0,1.841384023E-1,-9.007905722E-1,1.580384967E0
1.927587917E0,1.229820967E0,3.747445047E-1,-9.274511337E-1,1.585262962E0
1.937530917E0,1.186033487E0,3.803938627E-1,-9.573845267E-1,1.570974238E0
1.947472917E0,1.135660648E0,2.560874224E-1,-9.606461525E-1,1.509353142E0
1.957415917E0,1.063374996E0,1.969181150E-1,-9.462195635E-1,1.436967150E0
1.967357917E0,9.778217077E-1,1.988076568E-1,-9.063510299E-1,1.348010373E0
1.977300917E0,8.825364709E-1,1.940605789E-1,-8.466613889E-1,1.238291419E0
1.987242917E0,7.955892086E-1,1.639169157E-1,-7.790973783E-1,1.125532616E0
1.997185917E0,7.367570400E-1,1.800079942E-1,-7.262413502E-1,1.050066813E0
2.007127917E0,6.997784376E-1,2.565541863E-1,-6.944205761E-1,1.018690261E0
2.017070917E0,6.891012788E-1,3.551321626E-1,-7.074123025E-1,1.049481582E0
2.027012917E0,6.838865876E-1,4.902795255E-1,-7.850552797E-1,1.150819999E0
2.036955917E0,6.996780634E-1,4.861676097E-1,-8.753572106E-1,1.221539432E0
2.046898917E0,7.188119888E-1,2.956954837E-1,-8.724970222E-1,1.168493709E0
2.056840917E0,7.283181548E-1,2.039690465E-1,-8.343136907E-1,1.126112801E0
2.066783917E0,7.470890284E-1,1.796897948E-1,-7.464773655E-1,1.071288428E0
2.076725917E0,7.501559258E-1,1.457289010E-1,-6.723573804E-1,1.017858179E0
2.086668917E0,7.565837502E-1,1.739258617E-1,-6.576851606E-1,1.017457098E0
2.096610917E0,7.550116777E-1,2.216590345E-1,-7.090655565E-1,1.059221093E0
2.106553917E0,7.600536942E-1,2.508759499E-1,-7.949661016E-1,1.128091957E0
2.116495917E0,7.471834421E-1,2.849428356E-1,-8.830139041E-1,1.191297222E0
2.126438917E0,7.127963305E-1,2.943580747E-1,-9.360328317E-1,1.212799549E0
2.136380917E0,6.656724811E-1,2.789708674E-1,-9.388299584E-1,1.184207029E0
2.146323917E0,6.183983684E-1,2.532909513E-1,-9.038416147E-1,1.124056276E0
2.156266917E0,5.850492120E-1,2.125970423E-1,-8.607633710E-1,1.062258756E0
2.166208917E0,5.847147107E-1,1.902543753E-1,-8.469679356E-1,1.046633988E0
2.176151917E0,6.022921205E-1,2.926073968E-1,-9.178737402E-1,1.136163320E0
2.186093917E0,6.614528298E-1,2.024876624E-1,-9.343928695E-1,1.162588119E0
2.196036917E0,6.966238618E-1,8.158627898E-2,-9.321420193E-1,1.166546128E0
2.205978917E0,7.204889655E-1,1.117453724E-1,-9.374147654E-1,1.187576448E0
2.215921917E0,7.292420268E-1,1.019081920E-1,-8.957485557E-1,1.159545035E0
2.225863917E0,7.283738852E-1,1.023989022E-1,-8.231970072E-1,1.103932681E0
2.235806917E0,7.379189134E-1,1.053158641E-1,-7.553032041E-1,1.061177970E0
2.245748917E0,7.999987006E-1,9.225156903E-2,-7.028371692E-1,1.068872471E0
2.255691917E0,9.128072858E-1,2.926175948E-4,-6.843655109E-1,1.140865189E0
2.265634917E0,1.044768929E0,-1.190359071E-1,-7.020891309E-1,1.264373683E0
2.275576917E0,1.170121551E0,-2.315379530E-1,-7.120752335E-1,1.389188758E0
2.285519917E0,1.260830045E0,-3.386453390E-1,-6.874008179E-1,1.475429752E0
2.295461917E0,1.313973427E0,-3.939469457E-1,-6.248399615E-1,1.507363705E0
2.305404917E0,1.323209286E0,-4.017139971E-1,-5.681329370E-1,1.495002336E0
2.315346917E0,1.302395344E0,-3.278467059E-1,-5.345640182E-1,1.445501914E0
2.325289917E0,1.245461822E0,-1.594321132E-1,-5.743148327E-1,1.380735773E0
2.335231917E0,1.163617492E0,4.367093369E-2,-6.768177748E-1,1.346846360E0
2.345174917E0,1.064233065E0,1.871279478E-1,-8.082091808E-1,1.349374286E0
2.355116917E0,9.744878411E-1,2.171835899E-1,-9.254407287E-1,1.361336037E0
2.365059917E0,9.187837243E-1,1.497425586E-1,-9.990288615E-1,1.365520059E0
2.375002917E0,8.899568319E-1,1.753078401E-1,-1.093137026E0,1.420459277E0
2.384944917E0,9.221627116E-1,1.386919916E-1,-1.072808027E0,1.421455803E0
2.394887917E0,9.340396523E-1,-1.330052912E-1,-9.450244308E-1,1.335361994E0
2.404829917E0,9.191195369E-1,-1.928289533E-1,-8.745558858E-1,1.283281624E0
2.414772917E0,8.839117289E-1,-9.289011359E-2,-8.718173504E-1,1.244987554E0
2.424714917E0,8.233338594E-1,-3.975820169E-2,-8.442193866E-1,1.179900729E0
2.434657917E0,7.594137788E-1,1.059148386E-1,-8.631719947E-1,1.154553218E0
2.444599917E0,6.935466528E-1,1.403478086E-1,-8.504021168E-1,1.106294819E0
2.454542917E0,6.399382949E-1,1.545355320E-1,-8.480912447E-1,1.073620515E0
2.464485917E0,5.968533754E-1,6.897991151E-2,-7.992205620E-1,9.998728352E-1
2.474427917E0,5.812086463E-1,1.132726856E-2,-7.906339765E-1,9.813428974E-1
2.484370917E0,5.512465835E-1,-7.537923753E-2,-7.342212200E-1,9.212142124E-1
2.494312917E0,5.200918317E-1,-1.929293126E-1,-7.169995904E-1,9.065349666E-1
2.504255917E0,4.800975621E-1,-4.836113006E-2,-8.017051816E-1,9.357155905E-1
2.514197917E0,4.354091883E-1,-4.617840424E-2,-8.158292770E-1,9.259001110E-1
2.524140917E0,3.391313851E-1,6.261559203E-3,-8.584097028E-1,9.229932401E-1
2.534082917E0,2.461010367E-1,6.476881355E-2,-8.579081893E-1,8.948559553E-1
2.544025917E0,1.549735367E-1,2.814369276E-2,-8.430044055E-1,8.575927310E-1
2.553967917E0,1.051125005E-1,-7.415524870E-2,-8.372535706E-1,8.470780248E-1
2.563910917E0,1.209721789E-1,-2.807936072E-1,-8.781073093E-1,9.298127578E-1
2.573853917E0,2.047190219E-1,-5.017387867E-1,-9.506478310E-1,1.094249965E0
2.583795917E0,3.122909963E-1,-6.650563478E-1,-1.004788280E0,1.244759053E0
2.593738917E0,3.996562660E-1,-7.703443766E-1,-1.046448469E0,1.359488870E0
2.603680917E0,4.430259764E-1,-8.139179945E-1,-1.052308917E0,1.402172805E0
2.613623917E0,4.602054954E-1,-7.948846221E-1,-1.021856189E0,1.373979887E0
2.623565917E0,4.337461591E-1,-6.951685548E-1,-9.582616687E-1,1.260817384E0
2.633508917E0,3.773936629E-1,-5.559145212E-1,-8.690639138E-1,1.098516735E0
2.643450917E0,3.247491717E-1,-5.356801152E-1,-8.260266185E-1,1.036694355E0
2.653393917E0,3.146102726E-1,-5.775706172E-1,-8.651947975E-1,1.086797810E0
2.663335917E0,3.049866855E-1,-5.460544825E-1,-9.126678705E-1,1.106415391E0
2.673278917E0,2.338496745E-1,-4.024448097E-1,-8.816606402E-1,9.969819355E-1
2.683221917E0,8.944074810E-2,-2.499720305E-1,-7.789804339E-1,8.229800605E-1
2.693163917E0,-2.097950317E-2,-2.661153078E-1,-6.312064528E-1,6.853313671E-1
2.703106917E0,-9.893853217E-2,-3.002813160E-1,-4.929981232E-1,5.856661603E-1
