"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.284980890E-1,2.735871077E-1,-1.886525869E0,-1.672430515E0,2.535912773E0
8.332685580E-1,4.442706108E-1,-1.866038322E0,-1.713825226E0,2.572289311E0
8.380390270E-1,5.888287425E-1,-1.825379610E0,-1.741300583E0,2.590532325E0
8.428094950E-1,6.743097901E-1,-1.862340689E0,-1.802442074E0,2.678022398E0
8.475799640E-1,7.342675328E-1,-1.883747101E0,-1.856592178E0,2.744920120E0
8.523504330E-1,7.686525583E-1,-1.949314833E0,-1.937041759E0,2.853556702E0
8.571209020E-1,7.867976427E-1,-1.980197668E0,-1.991372585E0,2.916470145E0
8.618914230E-1,7.407503724E-1,-2.012277842E0,-2.031671524E0,2.953923223E0
8.666618910E-1,6.398575306E-1,-1.993227243E0,-2.084228516E0,2.954044856E0
8.714323600E-1,5.387202501E-1,-1.975641251E0,-2.153800964E0,2.971907881E0
8.762028290E-1,4.656058252E-1,-1.945197344E0,-2.221321106E0,2.989121768E0
8.809732980E-1,3.917056918E-1,-1.935252666E0,-2.310639381E0,3.039356936E0
8.857437660E-1,4.146314263E-1,-1.928993464E0,-2.414539337E0,3.118162153E0
8.905142350E-1,4.721340239E-1,-1.938102245E0,-2.506883144E0,3.203687555E0
8.952847040E-1,5.998471379E-1,-1.933874846E0,-2.535414219E0,3.244690088E0
9.000552250E-1,6.950709820E-1,-1.880521297E0,-2.545800686E0,3.240460639E0
9.048256930E-1,8.103998303E-1,-1.849653959E0,-2.550071716E0,3.252819302E0
9.095961620E-1,8.981626630E-1,-1.772120953E0,-2.569692135E0,3.248142009E0
9.143666310E-1,9.824189544E-1,-1.700560093E0,-2.595041275E0,3.254426347E0
9.191371000E-1,1.070512414E0,-1.615765810E0,-2.611870289E0,3.252470198E0
9.239075680E-1,1.169538140E0,-1.512938023E0,-2.601246357E0,3.228511039E0
9.286780370E-1,1.310278416E0,-1.392158270E0,-2.582375050E0,3.213035181E0
9.334485060E-1,1.483028173E0,-1.286766052E0,-2.576766968E0,3.239578282E0
9.382190270E-1,1.654307723E0,-1.182446718E0,-2.577178001E0,3.282797699E0
9.429894950E-1,1.829125643E0,-1.093614578E0,-2.576329708E0,3.343526316E0
9.477599640E-1,1.983738422E0,-1.029788256E0,-2.552742958E0,3.392960152E0
9.525304330E-1,2.108853102E0,-9.934194088E-1,-2.565918446E0,3.466710400E0
9.573009020E-1,2.233374596E0,-9.773523808E-1,-2.558432102E0,3.533943206E0
9.620713700E-1,2.324168444E0,-9.459705353E-1,-2.549290180E0,3.577079763E0
9.668418390E-1,2.395800352E0,-9.089579582E-1,-2.524146080E0,3.596856590E0
9.716123080E-1,2.374613285E0,-8.521165848E-1,-2.525888443E0,3.570014475E0
9.763828290E-1,2.317991018E0,-8.136777878E-1,-2.532949924E0,3.528595928E0
9.811532980E-1,2.306672573E0,-7.959866524E-1,-2.519116879E0,3.507175923E0
